id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title,us_viewers_in_millions,views,weekday_num,weekday_name,year,month,trend_slope,viewers_type
400,7.3,692.0,22,400,2007-05-20,2007,18,You Kent Always Say What You Want,9.8,45281.0,6,Sunday,2007,5,-0.1371146245059288,Individual Viewers (Millions)
425,6.6,615.0,5,425,2008-11-09,2008,20,Dangerous Curves,8.16,40078.0,6,Sunday,2008,11,-0.17758441558441557,Individual Viewers (Millions)
391,7.3,617.0,13,391,2007-02-18,2007,18,Springfield Up,8.8,45036.0,6,Sunday,2007,2,-0.1371146245059288,Individual Viewers (Millions)
389,7.0,580.0,11,389,2007-01-28,2007,18,Revenge Is a Dish Best Served Three Times,8.09,67621.0,6,Sunday,2007,1,-0.1371146245059288,Individual Viewers (Millions)
395,7.3,678.0,17,395,2007-04-22,2007,18,Marge Gamer,6.4,47107.0,6,Sunday,2007,4,-0.1371146245059288,Individual Viewers (Millions)
398,7.0,569.0,20,398,2007-05-13,2007,18,Stop! Or My Dog Will Shoot,6.48,42892.0,6,Sunday,2007,5,-0.1371146245059288,Individual Viewers (Millions)
414,7.3,626.0,14,414,2008-03-09,2008,19,Dial 'N' for Nerder,7.3,41658.0,6,Sunday,2008,3,-0.1985338345864664,Individual Viewers (Millions)
412,6.6,636.0,12,412,2008-02-17,2008,19,"Love, Springfieldian Style",7.81,40507.0,6,Sunday,2008,2,-0.1985338345864664,Individual Viewers (Millions)
427,7.1,728.0,7,427,2008-11-30,2008,20,MyPods and Boomsticks,7.8,40353.0,6,Sunday,2008,11,-0.17758441558441557,Individual Viewers (Millions)
421,7.2,780.0,1,421,2008-09-28,2008,20,"Sex, Pies and Idiot Scrapes",9.3,45735.0,6,Sunday,2008,9,-0.17758441558441557,Individual Viewers (Millions)
418,7.0,585.0,18,418,2008-05-04,2008,19,Any Given Sundance,6.18,41440.0,6,Sunday,2008,5,-0.1985338345864664,Individual Viewers (Millions)
206,7.5,899.0,3,206,1998-09-27,1998,10,Bart the Mother,7.35,43240.0,6,Sunday,1998,9,0.03665019762845839,Household Viewers (Millions)
430,7.0,591.0,10,430,2009-02-15,2009,20,"Take My Life, Please",6.82,40679.0,6,Sunday,2009,2,-0.17758441558441557,Individual Viewers (Millions)
432,7.0,582.0,12,432,2009-03-08,2009,20,"No Loan Again, Naturally",5.99,41165.0,6,Sunday,2009,3,-0.17758441558441557,Individual Viewers (Millions)
465,6.3,691.0,1,465,2010-09-26,2010,22,Elementary School Musical,7.75,31638.0,6,Sunday,2010,9,-0.16637492941840787,Individual Viewers (Millions)
439,7.1,613.0,19,439,2009-05-03,2009,20,"Waverly Hills, 9-0-2-1-D'oh",6.75,45032.0,6,Sunday,2009,5,-0.17758441558441557,Individual Viewers (Millions)
463,7.2,545.0,22,463,2010-05-16,2010,21,The Bob Next Door,6.26,43446.0,6,Sunday,2010,5,-0.1711363636363636,Individual Viewers (Millions)
437,7.2,605.0,17,437,2009-04-19,2009,20,"The Good, the Sad and the Drugly",6.5,45179.0,6,Sunday,2009,4,-0.17758441558441557,Individual Viewers (Millions)
451,6.7,552.0,10,451,2010-01-10,2010,21,Once Upon a Time in Springfield,14.62,40194.0,6,Sunday,2010,1,-0.1711363636363636,Individual Viewers (Millions)
443,6.6,585.0,2,443,2009-10-04,2009,21,Bart Gets a 'Z',9.32,38196.0,6,Sunday,2009,10,-0.1711363636363636,Individual Viewers (Millions)
436,7.2,604.0,16,436,2009-04-05,2009,20,Eeny Teeny Maya Moe,6.5,40864.0,6,Sunday,2009,4,-0.17758441558441557,Individual Viewers (Millions)
459,6.9,482.0,18,459,2010-04-18,2010,21,Chief of Hearts,5.93,41528.0,6,Sunday,2010,4,-0.1711363636363636,Individual Viewers (Millions)
444,6.3,562.0,3,444,2009-10-11,2009,21,The Great Wife Hope,7.5,39134.0,6,Sunday,2009,10,-0.1711363636363636,Individual Viewers (Millions)
461,7.2,519.0,20,461,2010-05-02,2010,21,To Surveil with Love,6.06,45738.0,6,Sunday,2010,5,-0.1711363636363636,Individual Viewers (Millions)
479,6.7,489.0,15,479,2011-03-06,2011,22,The Scorpion's Tale,6.2,42142.0,6,Sunday,2011,3,-0.16637492941840787,Individual Viewers (Millions)
477,6.9,461.0,13,477,2011-02-13,2011,22,The Blue and the Gray,5.61,42028.0,6,Sunday,2011,2,-0.16637492941840787,Individual Viewers (Millions)
454,6.6,496.0,13,454,2010-02-21,2010,21,The Color Yellow,6.08,41059.0,6,Sunday,2010,2,-0.1711363636363636,Individual Viewers (Millions)
470,6.5,479.0,6,470,2010-11-21,2010,22,The Fool Monty,6.58,38097.0,6,Sunday,2010,11,-0.16637492941840787,Individual Viewers (Millions)
449,7.2,542.0,8,449,2009-12-13,2009,21,"O Brother, Where Bart Thou?",7.11,38097.0,6,Sunday,2009,12,-0.1711363636363636,Individual Viewers (Millions)
453,6.8,525.0,12,453,2010-02-14,2010,21,Boy Meets Curl,5.87,44945.0,6,Sunday,2010,2,-0.1711363636363636,Individual Viewers (Millions)
481,6.5,470.0,17,481,2011-03-27,2011,22,Love Is a Many Strangled Thing,6.14,41202.0,6,Sunday,2011,3,-0.16637492941840787,Individual Viewers (Millions)
446,6.7,560.0,5,446,2009-11-15,2009,21,The Devil Wears Nada,9.04,42893.0,6,Sunday,2009,11,-0.1711363636363636,Individual Viewers (Millions)
484,7.2,483.0,20,484,2011-05-08,2011,22,Homer Scissorhands,5.48,46154.0,6,Sunday,2011,5,-0.16637492941840787,Individual Viewers (Millions)
456,7.0,554.0,15,456,2010-03-21,2010,21,Stealing First Base,5.69,40487.0,6,Sunday,2010,3,-0.1711363636363636,Individual Viewers (Millions)
